idTeam,idPlayer,playerName,playerPosition,playerImage,category,value
4819,12994,Lionel Messi,F,https://api.sofascore.app/api/v1/player/12994/image,attacking,87
4819,12994,Lionel Messi,F,https://api.sofascore.app/api/v1/player/12994/image,technical,87
4819,12994,Lionel Messi,F,https://api.sofascore.app/api/v1/player/12994/image,tactical,67
4819,12994,Lionel Messi,F,https://api.sofascore.app/api/v1/player/12994/image,defending,29
4819,12994,Lionel Messi,F,https://api.sofascore.app/api/v1/player/12994/image,creativity,75
4819,829932,Cristian Romero,D,https://api.sofascore.app/api/v1/player/829932/image,attacking,38
4819,829932,Cristian Romero,D,https://api.sofascore.app/api/v1/player/829932/image,technical,50
4819,829932,Cristian Romero,D,https://api.sofascore.app/api/v1/player/829932/image,tactical,66
4819,829932,Cristian Romero,D,https://api.sofascore.app/api/v1/player/829932/image,defending,81
4819,829932,Cristian Romero,D,https://api.sofascore.app/api/v1/player/829932/image,creativity,44
4819,895324,Alexis Mac Allister,M,https://api.sofascore.app/api/v1/player/895324/image,attacking,61
4819,895324,Alexis Mac Allister,M,https://api.sofascore.app/api/v1/player/895324/image,technical,62
4819,895324,Alexis Mac Allister,M,https://api.sofascore.app/api/v1/player/895324/image,tactical,57
4819,895324,Alexis Mac Allister,M,https://api.sofascore.app/api/v1/player/895324/image,defending,48
4819,895324,Alexis Mac Allister,M,https://api.sofascore.app/api/v1/player/895324/image,creativity,66
4819,901325,Nicolás González,M,https://api.sofascore.app/api/v1/player/901325/image,attacking,69
4819,901325,Nicolás González,M,https://api.sofascore.app/api/v1/player/901325/image,technical,62
4819,901325,Nicolás González,M,https://api.sofascore.app/api/v1/player/901325/image,tactical,57
4819,901325,Nicolás González,M,https://api.sofascore.app/api/v1/player/901325/image,defending,37
4819,901325,Nicolás González,M,https://api.sofascore.app/api/v1/player/901325/image,creativity,60
4819,158263,Emiliano Martínez,G,https://api.sofascore.app/api/v1/player/158263/image,tactical,75
4819,859999,Lisandro Martínez,D,https://api.sofascore.app/api/v1/player/859999/image,attacking,38
4819,859999,Lisandro Martínez,D,https://api.sofascore.app/api/v1/player/859999/image,technical,52
